Code,Category,Device Id,Brand Name,Part Number,Part Name,Added,Buyer Code,a_yyy,Max of grade a-yyy,b_nyy,Max of grade b-nyy,c_yny,Max of grade c-yny,d_nny,Max of grade d-nny,e_yyn,Max of grade e-yyn,f_nyn,Max of grade f-nyn,g_ynn,Max of grade g-ynn,h_nnn,Max of grade h-nnn,Released Date,Grand Total
73,Cell Phone,99687938-7B21-4DAD-BD50-954F6BF1F065,Apple,A1203,IPHONE 16GB,,,,19.04,,5.04,,5.01,,5.04,,5.01,,5.03,,5.07,,5.05,1/4/07,
6269,Cell Phone,1DEB0125-9194-46FB-BD92-C9FD8483D1F5,Apple,A1349,iPhone 4 16GB (CDMA),,,,10,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,10/2/11,4
5360,Cell Phone,E7FF39ED-EC91-4577-BFD3-0A1D4F43ADD1,Apple,A1332,iPhone 4 16GB (GSM),,,,10.03,,0.1,,3,,0.1,,3,,0.1,,0.1,,0.1,1/4/10,2
6268,Cell Phone,08EDF656-75E6-4574-9873-0E950F5EB476,Apple,A1349,iPhone 4 32GB (CDMA),,,,10,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,10/2/11,
4004,Cell Phone,14FC6506-B9D6-452A-861B-23ADCCCB6C6D,Apple,A1332,iPhone 4 32GB (GSM),,,,10.03,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,1/4/10,2
6541,Cell Phone,90CD1BF3-62E7-4E8E-B218-E34037DDA632,Apple,A1349,iPhone 4 8GB (CDMA),,,,6.03,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,10/14/11,32
6540,Cell Phone,93799F9C-4199-451B-AA11-E7BC062D2C7B,Apple,A1332,iPhone 4 8GB (GSM),,,0,10.53,0,3.19,0,3.15,0,0.1,0,3.15,0,0.1,0,0.1,0,0.1,10/14/11,26
78,Cell Phone,EAD67E8E-FAEB-4123-9736-5956F14874FC,Apple,A1203,IPHONE 4GB,,,,19.01,,5.06,,5.05,,5.03,,5.01,,5.01,,5.06,,5.07,1/4/07,
7586,Cell Phone,38E19820-1EB6-4C01-B457-A612737AA14A,Apple,A1387,iPhone 4s 16GB AT&T,,,0,12.84,0,4.12,0,3.8,0,3.15,0,5.17,0,3.15,0,4.12,0,3.15,11/10/11,33
7606,Cell Phone,55D7509D-ED2A-4AB0-9131-D5D651BD1CD6,Apple,A1387/A1431,iPhone 4s 16GB s/o,,,0,5.81,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,10/14/11,34
7594,Cell Phone,B8EB1DB2-BE52-4831-8A69-F4B45DB87A7E,Apple,A1387,iPhone 4s 16GB Verizon,,,0,17.04,0,5.17,0,6.34,0,3.15,0,8.23,0,3.15,0,3.4,0,3.15,10/14/11,27
7587,Cell Phone,47C02BEA-4276-4B80-98AD-7CF3A521061E,Apple,A1387,iPhone 4s 32GB AT&T,,,0,11.58,0,3.15,0,3.72,0,3.15,0,5.39,0,3.15,0,3.15,0,3.15,10/14/11,2
7607,Cell Phone,A958AF9F-671C-4D7B-A782-8ED2D4D169B3,Apple,A1387,iPhone 4s 32GB s/o,,,0,10.53,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,10/14/11,3
7601,Cell Phone,500B5ACD-334F-4C4C-9BD9-F5CB71A6DF0D,Apple,A1387,iPhone 4s 32GB T-Mobile,,,0,5.71,0,3.15,0,3.15,0,3.15,0,3.72,0,3.15,0,3.15,0,3.15,10/14/11,
7595,Cell Phone,8E8C6651-A50F-42F2-B46F-81AB6E3FEE51,Apple,A1387,iPhone 4s 32GB Verizon,,,0,15.89,0,5.56,0,3.72,0,3.15,0,8.44,0,3.15,0,3.15,0,3.15,10/14/11,3
7589,Cell Phone,6EDC1634-7F48-4B9F-9626-91288A91BCB4,Apple,A1387,iPhone 4s 64GB AT&T,,,0,14.21,0,3.15,0,3.15,0,3.15,0,5.39,0,3.15,0,3.15,0,3.15,10/14/11,
7608,Cell Phone,CEC28988-0522-4E53-822C-F1C2673BA9AA,Apple,A1387,iPhone 4s 64GB s/o,,,0,10.53,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,10/14/11,1
7602,Cell Phone,D9DDB4D7-8C66-4F4C-8412-2037E7957D43,Apple,A1387,iPhone 4s 64GB T-Mobile,,,0,5.82,0,3.15,0,3.15,0,3.15,0,3.93,0,3.15,0,3.15,0,3.15,10/14/11,
7596,Cell Phone,27164C60-4776-45B8-B7FB-FCE5ACAE7166,Apple,A1387,iPhone 4s 64GB Verizon,,,0,16.84,0,5.56,0,3.37,0,3.15,0,7.99,0,3.15,0,3.15,0,3.15,10/14/11,2
7661,Cell Phone,C5600B37-85B4-4F16-87D8-1A39128141A8,Apple,A1387,iPhone 4s 8GB AT&T,,,0,10.53,0,5.38,0,5.38,0,3.15,0,5.17,0,3.15,0,3.4,0,3.15,9/13/13,17
7692,Cell Phone,6728AFD7-BA2A-458B-A53B-E9350F59247A,Apple,A1387/A1431,iPhone 4s 8GB s/o,,,0,5.28,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,9/13/13,
7690,Cell Phone,3ACF2A86-76B2-4942-B7C6-BE5C4CAF05DA,Apple,A1387,iPhone 4s 8GB Verizon,,,0,14.73,0,3.4,0,3.28,0,3.15,0,5.9,0,3.15,0,3.4,0,3.15,9/13/13,11
7590,Cell Phone,58D7E121-5E5F-45F9-A748-0B21CAFC9A14,Apple,A1428/A1429,iPhone 5 16GB AT&T,,,0,50,0,30,0,23.15,0,23.11,0,30.89,0,23.14,0,23.29,0,24.15,9/21/12,113
7609,Cell Phone,1C8772E6-C04D-4D22-81AA-C45A948BBF82,Apple,A1428/A1429/A1442,iPhone 5 16GB s/o,,,0,27.52,0,23.16,0,24.34,0,23.12,0,21.23,0,23.15,0,23.12,0,23.13,9/21/12,383
7603,Cell Phone,1741514E-99A0-44BE-9342-554EFA02BD43,Apple,A1428/A1429,iPhone 5 16GB T-Mobile,,,0,24.15,0,23.11,0,23.13,0,23.14,0,18.76,0,23.14,0,23.16,0,23.12,9/21/12,27
7597,Cell Phone,FEF0AF72-BCEA-4FBF-BF5A-62EE20E983F4,Apple,A1428/A1429,iPhone 5 16GB Verizon,,,0,48.09,0,25.05,0,24.42,0,23.13,0,41.48,0,24.38,0,25.21,0,23.11,9/21/12,80
7591,Cell Phone,BFF4AAA5-6BFF-4FCD-9275-5EFFA1FB3B1E,Apple,A1428/A1429,iPhone 5 32GB AT&T,,,0,48.09,0,23.17,0,23.14,0,23.13,0,28.91,0,23.14,0,23.26,0,23.17,9/21/12,13
7610,Cell Phone,7ED37AFD-DEC2-44EC-AAFB-DFB3CEA38B11,Apple,A1428/A1429/A1442,iPhone 5 32GB s/o,,,0,27.52,0,23.15,0,23.15,0,23.14,0,21.26,0,23.15,0,23.12,0,23.15,9/21/12,9
7604,Cell Phone,6AD2ECCA-3CED-456E-9AE2-C0A978E3E8DF,Apple,A1428/A1429,iPhone 5 32GB T-Mobile,,,0,24.15,0,23.16,0,23.13,0,23.14,0,15.79,0,23.14,0,23.17,0,23.12,9/21/12,4
7598,Cell Phone,894E125E-136E-4C8F-9119-6511670B8482,Apple,A1428/A1429,iPhone 5 32GB Verizon,,,0,48.09,0,23.14,0,23.12,0,23.12,0,40.95,0,23.15,0,25.25,0,23.16,9/21/12,11
7592,Cell Phone,91F71CBE-004C-4D66-BC08-5A7662BB4C38,Apple,A1428/A1429,iPhone 5 64GB AT&T,,,0,48.09,0,23.12,0,23.15,0,23.12,0,25.42,0,23.16,0,23.3,0,23.11,9/21/12,1
7611,Cell Phone,3D15889A-CDD1-4045-8615-40B97CF6FD6F,Apple,A1428/A1429/A1442,iPhone 5 64GB s/o,,,0,27.52,0,23.13,0,23.14,0,23.15,0,21.28,0,23.15,0,23.17,0,23.11,9/21/12,6
7605,Cell Phone,11BD1B02-B18F-47CC-B87F-3CEF98C2941F,Apple,A1428/A1429,iPhone 5 64GB T-Mobile,,,0,26.25,0,23.13,0,23.12,0,23.11,0,16.85,0,23.14,0,23.11,0,23.17,9/21/12,1
7599,Cell Phone,22B3AE3C-8F3D-49F6-B31E-D6CBC53B4785,Apple,A1428/A1429,iPhone 5 64GB Verizon,,,0,48.09,0,23.16,0,23.14,0,23.16,0,41.48,0,23.12,0,25.22,0,23.13,9/21/12,
7653,Cell Phone,DEB27776-385F-4763-BD9F-752AEA5A552B,Apple,A1532,iPhone 5c 16GB AT&T,,,0,48.09,0,24.2,0,24.22,0,24.19,0,29.95,0,24.16,0,24.18,0,22.63,9/20/13,88
7659,Cell Phone,7375FE65-2E75-4237-8796-CE32F1CF6903,Apple,A1532/A1456/A1507/A1529,iPhone 5c 16GB s/o,,,0,28.37,0,24.19,0,25.47,0,24.21,0,26.7,0,24.2,0,24.21,0,22.6,9/20/13,392
7693,Cell Phone,7D622706-E50C-4858-9EE9-B2F59A56949E,Apple,A1532,iPhone 5c 16GB T-Mobile,,,0,27.42,0,24.19,0,24.17,0,24.2,0,23.35,0,24.22,0,24.21,0,22.61,9/20/13,18
7708,Cell Phone,0AD60774-4A75-4BF9-B248-C02340CADC4F,Apple,A1532,iPhone 5c 16GB Verizon,,,0,48.09,0,25.47,0,24.18,0,24.19,0,43.05,0,24.18,0,26.25,0,22.6,9/20/13,101
7654,Cell Phone,89A36E77-566C-44A4-B174-0CAD5112A678,Apple,A1532,iPhone 5c 32GB AT&T,,,0,48.09,0,24.18,0,24.19,0,24.18,0,26.31,0,24.2,0,24.17,0,22.6,9/20/13,7
7660,Cell Phone,DA3F0ABC-B859-40AC-A043-E0EE118613F6,Apple,A1532/A1456/A1507/A1529,iPhone 5c 32GB s/o,,,0,29.42,0,24.18,0,24.2,0,24.22,0,23.45,0,24.18,0,24.18,0,22.62,9/20/13,3
7695,Cell Phone,092B8C0E-6CAC-44B4-96E9-92065FD5BF8D,Apple,A1532,iPhone 5c 32GB T-Mobile,,,0,29.44,0,24.16,0,24.19,0,24.22,0,23.33,0,24.18,0,24.16,0,22.64,9/20/13,1
7709,Cell Phone,7EB08127-9858-44AE-AE99-CDAAEECE77BD,Apple,A1532,iPhone 5c 32GB Verizon,,,0,48.09,0,24.22,0,24.16,0,24.19,0,44.1,0,24.19,0,26.25,0,22.65,9/20/13,18
8545,Cell Phone,F53C0828-A657-4CFD-9ECB-0DA018C2310C,Apple,A1532,iPhone 5c 8GB AT&T,,,0,27.86,0,24.21,0,24.2,0,24.18,0,24.17,0,24.17,0,24.18,0,22.64,9/9/14,33
8546,Cell Phone,DF3D7905-51E4-4308-A4D1-58AE4A77EF98,Apple,A1532/A1456/A1507/A1529,iPhone 5c 8GB s/o,,,0,25.75,0,24.16,0,24.22,0,24.21,0,23.66,0,24.21,0,24.18,0,22.6,9/9/14,221
8547,Cell Phone,942365AB-7FE9-4412-8940-7A578DE7BC6B,Apple,A1532,iPhone 5c 8GB T-Mobile,,,0,27.3,0,24.2,0,24.21,0,24.16,0,23.32,0,24.19,0,24.18,0,22.64,9/9/14,4
8548,Cell Phone,7E530442-1761-4D1A-98BF-9CD29CF2D023,Apple,A1532,iPhone 5c 8GB Verizon,,,0,36.22,0,24.21,0,24.16,0,24.21,0,37.8,0,24.21,0,26.25,0,22.63,9/9/14,44
7655,Cell Phone,F00CF507-F0F2-4BA6-9863-5ED024DE9D9B,Apple,A1453/A1533,iPhone 5s 16GB AT&T,,,0,55.44,0,28.38,0,27.11,0,25.76,0,40,0,23.15,0,30.92,0,23.17,9/20/13,330
10491,Cell Phone,93BEC818-05E8-4AEB-9C3F-3C6BF11A075C,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 16GB Other,,,0,36.77,0,31,0,30.54,0,30.51,0,34.91,0,30.47,0,30.53,0,30.47,9/20/13,1071
7649,Cell Phone,9CE26A5B-200A-43D5-A864-862F0341B0B8,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 16GB Sprint,,,0,33.65,0,26.6,0,30.5,0,25.75,0,29.42,0,23.11,0,23.13,0,23.16,9/19/13,266
7658,Cell Phone,CED6EED9-5CA7-43EC-9471-F2166F2F894E,Apple,A1453/A1533,iPhone 5s 16GB T-Mobile,,,0,34.67,0,26.59,0,30.5,0,25.77,0,27.37,0,23.13,0,23.16,0,23.17,9/20/13,83
7712,Cell Phone,0F194BDF-E08E-4E6B-9449-65EDF597AC11,Apple,A1453/A1533,iPhone 5s 16GB Verizon/Unlocked,,,0,53.57,0,37.82,0,40.97,0,25.79,24,49.37,0,31.06,0,33.11,0,23.13,9/20/13,275
7656,Cell Phone,4FF29302-0F97-4FD1-A545-2C0574FE3DF0,Apple,A1453/A1533,iPhone 5s 32GB AT&T,,,0,44.2,0,26.54,0,31.6,0,25.77,0,42.1,0,23.17,0,31.6,0,23.11,9/20/13,34
10492,Cell Phone,1773DB58-DAE1-4D42-B4DB-98EADAF13304,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 32GB Other,,,0,37.82,0,32.06,0,30.52,0,30.52,0,30.48,0,30.52,0,30.47,0,30.53,9/20/13,36
7651,Cell Phone,50FEE805-FB04-4B2B-95AD-4B026E915929,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 32GB Sprint,,,0,34.67,0,30.49,0,30.51,0,25.75,0,29.91,0,23.14,0,23.12,0,23.15,9/20/13,5
7710,Cell Phone,E46BD004-16D3-4811-A41F-60C3E1C3F23F,Apple,A1453/A1533,iPhone 5s 32GB T-Mobile,,,0,34.67,0,30.53,0,30.47,0,25.8,0,29.91,0,23.15,0,13.76,0,23.14,9/20/13,1
7713,Cell Phone,5411FFA5-A163-404F-985B-3EA98E202743,Apple,A1453/A1533,iPhone 5s 32GB Verizon/Unlocked,,,0,59.85,0,36.77,0,35.72,0,25.75,24,57.77,0,31.01,0,33.11,0,23.15,9/20/13,23
7657,Cell Phone,A53279FC-5C0A-42AF-89A9-FB9951602EE9,Apple,A1453/A1533,iPhone 5s 64GB AT&T,,,0,44.2,0,23.12,0,26.36,0,25.78,0,42.1,0,23.11,0,24.26,0,23.13,9/20/13,13
10493,Cell Phone,9954113B-442B-4803-B606-430BF739BD28,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 64GB Other,,,0,39.92,0,30.48,0,30.47,0,30.47,0,30.5,0,30.52,0,16.9,0,30.5,9/20/13,
7652,Cell Phone,9C22B494-EF4C-4545-A2A5-DCE4BBF5F718,Apple,A1453/A1457/A1518/A1530/A1533,iPhone 5s 64GB Sprint,,,0,34.67,0,30.47,0,30.47,0,25.78,0,29.85,0,23.15,0,16.9,0,23.13,9/20/13,2
7711,Cell Phone,F89DE218-73F8-4AEE-BFCE-0EB9F6C747ED,Apple,A1453/A1533,iPhone 5s 64GB T-Mobile,,,0,34.67,0,30.48,0,30.47,0,25.79,0,29.87,0,23.11,0,16.9,0,23.12,9/20/13,
7714,Cell Phone,3DCE5AFC-F6FA-4E32-B4F8-0195A0EF6496,Apple,A1453/A1533,iPhone 5s 64GB Verizon/Unlocked,,,0,59.85,0,30.49,0,44.2,0,25.8,24,57.77,0,31.02,0,44.2,0,23.16,9/20/13,3
8387,Cell Phone,E7A1F5DE-4867-44C2-9D74-E2DDED77DCE5,Apple,A1586/A1549,iPhone 6 128GB AT&T,,,0,96.64,0,6.3,0,63,0,7.35,0,63,0,7.35,0,63,0,6.3,9/19/14,28
10496,Cell Phone,F13F93AE-0427-43BB-BFEB-2A223A044B5C,Apple,A1586/A1549,iPhone 6 128GB Other,,,0,63.02,0,6.3,0,42,0,34.71,0,55.57,0,7.35,0,42,0,34.66,9/19/14,16
8393,Cell Phone,8EDE6C4F-8B39-4F14-A087-F33A0C0CFDA4,Apple,A1586/A1549,iPhone 6 128GB Sprint,,,0,71.43,0,28.38,0,7.35,0,11.06,0,52.95,0,7.35,0,26.79,0,23.99,9/19/14,1
8390,Cell Phone,0A924240-7CE3-4150-8194-5F0923F352B7,Apple,A1586/A1549,iPhone 6 128GB T-Mobile,,,0,84,0,40.12,0,52.5,0,11.05,0,52.95,0,7.35,0,52.5,0,23.95,9/19/14,3
8415,Cell Phone,F4E4B0A8-3C44-46FE-99FF-A4CFA7BB059D,Apple,A1586/A1549,iPhone 6 128GB Verizon/Unlocked,,,68,116.59,0,40.11,0,71.1,0,38.01,62,130.2,0,7.35,0,68.25,0,38.01,9/19/14,12
8385,Cell Phone,CC88DD0B-8E5E-4DCB-A0D2-78CCE873D341,Apple,A1586/A1549,iPhone 6 16GB AT&T,,,0,84.04,0,14.09,0,52.5,0,38.01,0,63.03,0,7.35,0,52.5,0,38.01,9/19/14,321
10494,Cell Phone,AEB886A4-11C4-4635-B2F9-A64D94CA02EA,Apple,A1586/A1549,iPhone 6 16GB Other,,,0,53.57,0,39.38,0,40.12,0,7.35,0,47.28,0,7.35,0,36.79,0,31.9,9/19/14,764
8391,Cell Phone,364767C7-F296-43E1-9759-C12CE15D62E7,Apple,A1586/A1549,iPhone 6 16GB Sprint,,,0,53.57,0,39.5,0,39.92,0,36.77,0,47.27,0,7.35,0,36.77,0,29.96,9/19/14,309
8388,Cell Phone,B42CC60E-3632-41FE-8559-D2B152EF8A6B,Apple,A1586/A1549,iPhone 6 16GB T-Mobile,,,0,70.38,0,39.28,0,47.25,0,36.77,0,52.5,0,7.35,0,47.25,0,34.66,9/19/14,84
